galleryImageId,productId,variantId,colorVariantId,imageUrl,imageSource,productName,categoryId,categoryName,brandId,brandName,gender,color,price,finalPrice,isActive,availableQuantity
2f5fa044af449c0a22678290:a2cafc16f76ae7dca1d4b3b8:7b28ab99e3d24c0b8c7e68dd,2f5fa044af449c0a22678290,a2cafc16f76ae7dca1d4b3b8,7b28ab99e3d24c0b8c7e68dd,https://buggy.yodycdn.com/images/product/965f515ded31bc54c2c5df24fa905696.webp,color_variant_image,Quần Baggy Nữ Lưng Cao Nano Gấu Lơ Vê,9b440a922f3625fa4ec34d21,Quần baggy,a6c66b8d301ac0218dbc24e0,YODY,female,Trắng,49000,49000,true,160
2f5fa044af449c0a22678290:a2cafc16f76ae7dca1d4b3b8:5b2832ad8ea0a4d6554234a5,2f5fa044af449c0a22678290,a2cafc16f76ae7dca1d4b3b8,5b2832ad8ea0a4d6554234a5,https://buggy.yodycdn.com/images/product/95442900b1f2fa4dcfc95964f7541e3f.webp,color_variant_image,Quần Baggy Nữ Lưng Cao Nano Gấu Lơ Vê,9b440a922f3625fa4ec34d21,Quần baggy,a6c66b8d301ac0218dbc24e0,YODY,female,Nâu đậm,49000,49000,true,160
2f5fa044af449c0a22678290:a2cafc16f76ae7dca1d4b3b8:4a35df6b64878c9b45ddb3af,2f5fa044af449c0a22678290,a2cafc16f76ae7dca1d4b3b8,4a35df6b64878c9b45ddb3af,https://buggy.yodycdn.com/images/product/83d8fd50bf56a162430cb0069cdfe2c6.webp,color_variant_image,Quần Baggy Nữ Lưng Cao Nano Gấu Lơ Vê,9b440a922f3625fa4ec34d21,Quần baggy,a6c66b8d301ac0218dbc24e0,YODY,female,Nâu nhạt,49000,49000,true,160
83b1de630d040d81aadb8f2f:product_image,83b1de630d040d81aadb8f2f,,,https://buggy.yodycdn.com/images/product/a7cce6459dec30923094643b198a46a7.webp,product_image,Áo polo nam pique sồi,43664554fe2d2ee1bd5ee884,Áo polo,a6c66b8d301ac0218dbc24e0,YODY,male,,99000,99000,true,240
83b1de630d040d81aadb8f2f:37b4b8a17a98b4bdf60133e5:1c7d156219561cea7afbb509,83b1de630d040d81aadb8f2f,37b4b8a17a98b4bdf60133e5,1c7d156219561cea7afbb509,https://buggy.yodycdn.com/images/product/a7cce6459dec30923094643b198a46a7.webp,color_variant_image,Áo polo nam pique sồi,43664554fe2d2ee1bd5ee884,Áo polo,a6c66b8d301ac0218dbc24e0,YODY,male,Xanh tím,99000,99000,true,240
e1416f27eac0557c580933b5:product_image,e1416f27eac0557c580933b5,,,https://buggy.yodycdn.com/images/product/db507026abff2f05c6fa18afd608c9f8.webp,product_image,Áo Hai Dây Nữ Cổ Tròn Len Mềm Mại,4f127f56012e9b1e215f38fb,Áo hai dây,a6c66b8d301ac0218dbc24e0,YODY,female,,49000,49000,true,480
e1416f27eac0557c580933b5:3012ad7f8af249270dc6bf79:ec755e72177512e8b6e2513b,e1416f27eac0557c580933b5,3012ad7f8af249270dc6bf79,ec755e72177512e8b6e2513b,https://buggy.yodycdn.com/images/product/db507026abff2f05c6fa18afd608c9f8.webp,color_variant_image,Áo Hai Dây Nữ Cổ Tròn Len Mềm Mại,4f127f56012e9b1e215f38fb,Áo hai dây,a6c66b8d301ac0218dbc24e0,YODY,female,Xanh,49000,49000,true,120
e1416f27eac0557c580933b5:3012ad7f8af249270dc6bf79:ee417854cc2e8680df2b015e,e1416f27eac0557c580933b5,3012ad7f8af249270dc6bf79,ee417854cc2e8680df2b015e,https://buggy.yodycdn.com/images/product/85d05fccd991f782244cba2899082542.webp,color_variant_image,Áo Hai Dây Nữ Cổ Tròn Len Mềm Mại,4f127f56012e9b1e215f38fb,Áo hai dây,a6c66b8d301ac0218dbc24e0,YODY,female,Trắng,49000,49000,true,120
e1416f27eac0557c580933b5:3012ad7f8af249270dc6bf79:69a9ee3d38c23857d6cc1e36,e1416f27eac0557c580933b5,3012ad7f8af249270dc6bf79,69a9ee3d38c23857d6cc1e36,https://buggy.yodycdn.com/images/product/b12ada1daa5afe0a204fcf93e504fe0f.webp,color_variant_image,Áo Hai Dây Nữ Cổ Tròn Len Mềm Mại,4f127f56012e9b1e215f38fb,Áo hai dây,a6c66b8d301ac0218dbc24e0,YODY,female,Đen,49000,49000,true,120
e1416f27eac0557c580933b5:3012ad7f8af249270dc6bf79:a1831fde707e91c0ecae91aa,e1416f27eac0557c580933b5,3012ad7f8af249270dc6bf79,a1831fde707e91c0ecae91aa,https://buggy.yodycdn.com/images/product/aeb02cae4af558303f0e60afe3b79a0e.webp,color_variant_image,Áo Hai Dây Nữ Cổ Tròn Len Mềm Mại,4f127f56012e9b1e215f38fb,Áo hai dây,a6c66b8d301ac0218dbc24e0,YODY,female,Nâu,49000,49000,true,120
